trendId,company,product,genericName,brandContext,diseaseAreas,overlapUnits,linkedPrograms,period,year,status,revenueUsdM,growthVsPrior,projectionBasis,patentSummary,patentEvents,sourceUrls
ETCAMAH,AstraZeneca,Etcamah,camizestrant,Approved asset brand,Solid-tumor oncology,Breast cancer,camizestrant,H1 26,2026.0,reported-partial,3,,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
ETCAMAH,AstraZeneca,Etcamah,camizestrant,Approved asset brand,Solid-tumor oncology,Breast cancer,camizestrant,2026E,2026.5,projected,15,4.0,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
ETCAMAH,AstraZeneca,Etcamah,camizestrant,Approved asset brand,Solid-tumor oncology,Breast cancer,camizestrant,2027,2027,projected,120,7.0,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
ETCAMAH,AstraZeneca,Etcamah,camizestrant,Approved asset brand,Solid-tumor oncology,Breast cancer,camizestrant,2028,2028,projected,360,2.0,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
ETCAMAH,AstraZeneca,Etcamah,camizestrant,Approved asset brand,Solid-tumor oncology,Breast cancer,camizestrant,2029,2029,projected,700,0.9444444444444444,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
ETCAMAH,AstraZeneca,Etcamah,camizestrant,Approved asset brand,Solid-tumor oncology,Breast cancer,camizestrant,2030,2030,projected,1000,0.4285714285714286,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
ETCAMAH,AstraZeneca,Etcamah,camizestrant,Approved asset brand,Solid-tumor oncology,Breast cancer,camizestrant,2031,2031,projected,1250,0.25,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
BAXFENDY,AstraZeneca,Baxfendy,baxdrostat,Approved asset brand,Cardiovascular,Hypertension,baxdrostat,H1 26,2026.0,reported-partial,3,,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
BAXFENDY,AstraZeneca,Baxfendy,baxdrostat,Approved asset brand,Cardiovascular,Hypertension,baxdrostat,2026E,2026.5,projected,15,4.0,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
BAXFENDY,AstraZeneca,Baxfendy,baxdrostat,Approved asset brand,Cardiovascular,Hypertension,baxdrostat,2027,2027,projected,150,9.0,Illustrative new-launch uptake scenario from the $3M H1 2026 starting point; not company guidance or consensus.,No product-specific loss-of-exclusivity date was disclosed in the 2025 Form 20-F; no cliff is applied through 2031.,,https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf | https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
