diseaseArea,factor,unit,directness,rationale,azSourceUrl,bmsSourceUrl,azPrograms,bmsPrograms,id,cellId
Solid-tumor oncology,Shared indications,NSCLC,3,"Multiple programs from both companies are being developed in NSCLC, creating direct disease-level overlap.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['IPH5201', 'rilvegostomig', 'volrustomig']","['pumitamig', 'iza-bren', 'navlimetostat', 'nivolumab + relatlimab HD']",solid-tumor-oncology--shared-indications--nsclc,solid-tumor-oncology--shared-indications
Solid-tumor oncology,Shared indications,Prostate cancer,3,"Both companies have late-stage prostate-cancer programs, although targets and modalities differ.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['FPI-2265', 'saruparib']",['AR ligand-directed degrader'],solid-tumor-oncology--shared-indications--prostate-cancer,solid-tumor-oncology--shared-indications
Solid-tumor oncology,Shared modalities,Small-molecule targeted therapy,2,Both use oral/small-molecule targeted approaches in solid tumors.,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['AZD9574', 'camizestrant', 'saruparib']","['navlimetostat', 'AR ligand-directed degrader']",solid-tumor-oncology--shared-modalities--small-molecule-targeted-therapy,solid-tumor-oncology--shared-modalities
Solid-tumor oncology,Shared modalities,Bispecific / dual-target biologics,3,Both have late-stage dual-target immuno-oncology biologics.,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['rilvegostomig', 'volrustomig']",['pumitamig'],solid-tumor-oncology--shared-modalities--bispecific-dual-target-biologics,solid-tumor-oncology--shared-modalities
Solid-tumor oncology,Shared modalities,Antibody-drug conjugates,3,"Both have substantial ADC activity, with AstraZeneca contributing greater breadth.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['puxitatug samrotecan', 'sonesitatug vedotin', 'tilatamig samrotecan', 'torvutatug samrotecan']",['izalontamab brengitecan'],solid-tumor-oncology--shared-modalities--antibody-drug-conjugates,solid-tumor-oncology--shared-modalities
Solid-tumor oncology,Shared modalities,Radiopharmaceuticals,2,"Both have targeted radiopharmaceutical programs, but in different tumor types and targets.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,['FPI-2265'],['RYZ101'],solid-tumor-oncology--shared-modalities--radiopharmaceuticals,solid-tumor-oncology--shared-modalities
Solid-tumor oncology,Shared target / mechanism,PD-(L)1-based immuno-oncology,3,Both portfolios use PD-1/PD-L1-centered combinations or multispecific approaches.,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['rilvegostomig', 'volrustomig']","['pumitamig', 'nivolumab + relatlimab HD', 'atigotatug + nivolumab']",solid-tumor-oncology--shared-target-mechanism--pd-l-1-based-immuno-oncology,solid-tumor-oncology--shared-target-mechanism
Solid-tumor oncology,Shared target / mechanism,EGFR-directed therapeutics,2,"Both have EGFR-directed ADC programs, paired with different second targets.",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,['tilatamig samrotecan'],['izalontamab brengitecan'],solid-tumor-oncology--shared-target-mechanism--egfr-directed-therapeutics,solid-tumor-oncology--shared-target-mechanism
Solid-tumor oncology,Stage alignment,Phase II,2,Both companies have Phase II programs in the disease area.,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['AZD9574', 'FPI-2265', 'IPH5201', 'tilatamig samrotecan']","['iza-bren', 'navlimetostat']",solid-tumor-oncology--stage-alignment--phase-ii,solid-tumor-oncology--stage-alignment
Solid-tumor oncology,Stage alignment,Phase III / registration,3,Both have broad Phase III/registration portfolios in solid tumors.,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_presentations/2026/bms-pipeline-february-2026.pdf,"['camizestrant', 'puxitatug samrotecan', 'rilvegostomig', 'saruparib', 'sonesitatug vedotin', 'torvutatug samrotecan', 'volrustomig']","['pumitamig', 'AR ligand-directed degrader', 'atigotatug + nivolumab', 'nivolumab + relatlimab HD', 'RYZ101']",solid-tumor-oncology--stage-alignment--phase-iii-registration,solid-tumor-oncology--stage-alignment
