company,sourceTherapeuticArea,diseaseArea,program,stage,modality,representativeIndications,snapshotDate,sourceUrl,notes,trialId,trialName,trialStage,overlapIndication,potentialLaunchIndication,clinicalSetting,primaryCompletion,launchLagLowYears,launchLagHighYears,illustrativeLaunchWindow,historicalSales,trialUrl,detailNote,matrixModalityFamily,matrixIndications,brandName,brandRelationship,marketedStatus,salesTrendIds,brandSourceUrl
AstraZeneca,Oncology,Solid-tumor oncology,AZD9574,Phase II,PARP1 inhibitor,Advanced solid malignancies,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Small molecule / targeted degradation,['Other solid tumors'],,,,[],
AstraZeneca,Oncology,Solid-tumor oncology,camizestrant,Phase III / registration,Next-generation oral SERD,"HR+/HER2- breast cancer, including advanced and adjuvant settings",2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Combination trials counted once under the lead investigational asset.,,,Phase III / registration,,,,,,,Not estimated,Etcamah: $3M H1 2026 product revenue (new launch),,,Small molecule / targeted degradation,['Breast cancer'],Etcamah,"Approved brand for camizestrant (EU and Japan, 2026)",Launched in EU and Japan after the February 2026 pipeline snapshot,['ETCAMAH'],https://www.rns-pdf.londonstockexchange.com/rns/9440N_1-2026-7-26.pdf
AstraZeneca,Oncology,Solid-tumor oncology,FPI-2265,Phase II,PSMA-targeted actinium radioconjugate,Prostate cancer,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,NCT06402331,AlphaBreak,Phase II,Prostate cancer,PSMA-positive metastatic castration-resistant prostate cancer,Post-lutetium PSMA radioligand therapy; dose optimization,2026-12-23,3,5,2029-2031,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06402331,Phase II; additional combination work is underway.,Radiopharmaceutical,['Prostate cancer'],,,,[],
AstraZeneca,Oncology,Solid-tumor oncology,IPH5201,Phase II,CD39 monoclonal antibody,Neoadjuvant/adjuvant NSCLC; listed in combination with Imfinzi,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Marketed combination backbone excluded from the asset count.,NCT05742607,MATISSE,Phase II,NSCLC,Resectable stage II-IIIA NSCLC,Untreated; neoadjuvant therapy before surgery followed by adjuvant therapy,2025-06,3,5,2028-2030,IPH5201 not launched; Imfinzi generated $6.1B in 2025,https://clinicaltrials.gov/study/NCT05742607,Early-stage study; no pivotal launch assumption is implied.,mAb / IO combination,['NSCLC'],Imfinzi,Marketed combination backbone: Imfinzi (durvalumab),IPH5201 remains investigational; Imfinzi is marketed,['IMFINZI'],https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm
AstraZeneca,Oncology,Solid-tumor oncology,puxitatug samrotecan,Phase III,B7-H4 TOP1i antibody-drug conjugate,Solid tumors; Phase III endometrial cancer program,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,,Antibody-drug conjugate,"['Endometrial cancer', 'Other solid tumors']",,,,[],
AstraZeneca,Oncology,Solid-tumor oncology,rilvegostomig,Phase III,PD-1/TIGIT bispecific antibody,"NSCLC, HCC, gastric, biliary and other solid tumors",2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Multiple combinations and indications counted once under the lead asset.,NCT06692738,ARTEMIDE-Lung02,Phase III,NSCLC,"Metastatic squamous NSCLC, PD-L1 >=1%",First-line; rilvegostomig plus platinum chemotherapy,2029-02-05,1,2,2030-2031,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06692738,Representative pivotal study; the asset has additional NSCLC programs.,Bispecific / dual-target antibody,"['NSCLC', 'Gastric / GEJ', 'HCC / biliary', 'Other solid tumors']",,,,[],
AstraZeneca,Oncology,Solid-tumor oncology,saruparib,Phase III,PARP1 inhibitor,Prostate and breast cancer programs,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Multiple combinations and indications counted once under the lead asset.,NCT06120491,EvoPAR-Prostate01,Phase III,Prostate cancer,Metastatic castration-sensitive prostate cancer,First-line metastatic setting; with physician-choice new hormonal agent,2027-09-30,1,2,2028-2029,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06120491,Representative Phase III prostate study.,Small molecule / targeted degradation,"['Prostate cancer', 'Breast cancer']",,,,[],
AstraZeneca,Oncology,Solid-tumor oncology,sonesitatug vedotin,Phase III,CLDN18.2 MMAE antibody-drug conjugate,Solid tumors; Phase III gastric cancer program,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,,Antibody-drug conjugate,"['Gastric / GEJ', 'Other solid tumors']",,,,[],
AstraZeneca,Oncology,Solid-tumor oncology,tilatamig samrotecan,Phase II,EGFR/cMET TOP1i antibody-drug conjugate,Solid tumors,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Antibody-drug conjugate,['Other solid tumors'],,,,[],
AstraZeneca,Oncology,Solid-tumor oncology,torvutatug samrotecan (AZD5335),Phase III,FR-alpha TOP1i antibody-drug conjugate,Ovarian cancer and other solid tumors,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,,Antibody-drug conjugate,"['Ovarian cancer', 'Other solid tumors']",,,,[],
AstraZeneca,Oncology,Solid-tumor oncology,volrustomig,Phase III,PD-1/CTLA-4 bispecific antibody,"NSCLC, cervical, head and neck, colorectal and mesothelioma",2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Multiple indications counted once under the lead asset.,NCT05984277,eVOLVE-Lung02,Phase III,NSCLC,"Metastatic NSCLC, PD-L1 <50%",First-line; volrustomig plus histology-specific chemotherapy,2028-04-24,1,2,2029-2030,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT05984277,Representative pivotal study.,Bispecific / dual-target antibody,"['NSCLC', 'Other solid tumors']",,,,[],
AstraZeneca,Oncology,Hematology,AZD0120,Phase II,CD19/BCMA CAR-T,Multiple myeloma,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,NCT05850234,DURGA-1,Phase Ib/II,Multiple myeloma,Relapsed/refractory multiple myeloma,At least three prior lines; CD19/BCMA dual CAR-T,2027-08-31,4,6,2031-2033,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT05850234,Early-stage CAR-T program; launch window is highly uncertain.,CAR-T,['Multiple myeloma'],,,,[],
AstraZeneca,Oncology,Hematology,AZD0305,Phase II,GPRC5D MMAE antibody-drug conjugate,Relapsed/refractory multiple myeloma,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,NCT06106945,Modular Phase I/II study,Phase I/II,Multiple myeloma,Multiple myeloma,Monotherapy and combination dose escalation/expansion,2027-08-16,4,6,2031-2033,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06106945,GPRC5D ADC; launch window is highly uncertain.,Antibody-drug conjugate,['Multiple myeloma'],,,,[],
AstraZeneca,Oncology,Hematology,AZD3470,Phase II,PRMT5 inhibitor,Classical Hodgkin lymphoma; also early solid-tumor work,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Classified to hematology based on the disclosed Phase II indication.,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Small molecule,['Hodgkin lymphoma'],,,,[],
AstraZeneca,Oncology,Hematology,surovatamig,Phase III,CD19/CD3 T-cell engager,"B-cell malignancies including DLBCL, follicular lymphoma and B-ALL",2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Multiple indications counted once under the lead asset.,NCT06549595,SOUNDTRACK-F1,Phase III,B-cell lymphoma,Previously untreated follicular lymphoma,First-line; surovatamig plus rituximab versus chemoimmunotherapy,2031-11-26,1,2,2032-2033,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06549595,Representative pivotal study in the B-cell lymphoma territory.,T-cell engager,"['B-cell lymphoma', 'B-ALL']",,,,[],
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",atuliflapon,Phase II,FLAP inhibitor,Asthma,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Oral / systemic small molecule,['Asthma'],,,,[],
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",AZD1163,Phase II,PAD2/4 bispecific antibody,Rheumatoid arthritis,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Monoclonal / bispecific antibody,['Rheumatoid arthritis'],,,,[],
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",AZD4604,Phase II,Inhaled JAK1 inhibitor,Asthma,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Inhaled small molecule,['Asthma'],,,,[],
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",AZD6793,Phase II,IRAK4 inhibitor,COPD,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Oral / systemic small molecule,['COPD'],,,,[],
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",AZD7798,Phase II,T-cell-subset-targeting monoclonal antibody,Crohn's disease,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Monoclonal / bispecific antibody,"[""Crohn's disease""]",,,,[],
AstraZeneca,Respiratory & Immunology,"Immunology, respiratory & fibrosis",AZD8630,Phase II,Inhaled TSLP Fab,Asthma,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,,Inhaled biologic,['Asthma'],,,,[],
