company,diseaseArea,program,modalityFamily,indicationTerritory,sourceUrl
Bristol Myers Squibb,Solid-tumor oncology,izalontamab brengitecan (iza-bren),Antibody-drug conjugate,Breast cancer,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Solid-tumor oncology,puxitatug samrotecan,Antibody-drug conjugate,Endometrial cancer,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Solid-tumor oncology,sonesitatug vedotin,Antibody-drug conjugate,Gastric / GEJ,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Solid-tumor oncology,izalontamab brengitecan (iza-bren),Antibody-drug conjugate,NSCLC,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Solid-tumor oncology,puxitatug samrotecan,Antibody-drug conjugate,Other solid tumors,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Solid-tumor oncology,sonesitatug vedotin,Antibody-drug conjugate,Other solid tumors,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Solid-tumor oncology,tilatamig samrotecan,Antibody-drug conjugate,Other solid tumors,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Solid-tumor oncology,torvutatug samrotecan (AZD5335),Antibody-drug conjugate,Other solid tumors,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Solid-tumor oncology,torvutatug samrotecan (AZD5335),Antibody-drug conjugate,Ovarian cancer,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
Bristol Myers Squibb,Solid-tumor oncology,izalontamab brengitecan (iza-bren),Antibody-drug conjugate,Urothelial cancer,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
Bristol Myers Squibb,Solid-tumor oncology,pumitamig,Bispecific / dual-target antibody,Breast cancer,https://annual-report.bms.com/assets/bms-ar/documents/2025/2025-bms-development-portfolio.pdf
AstraZeneca,Solid-tumor oncology,rilvegostomig,Bispecific / dual-target antibody,Gastric / GEJ,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
AstraZeneca,Solid-tumor oncology,rilvegostomig,Bispecific / dual-target antibody,HCC / biliary,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf
