company,sourceTherapeuticArea,diseaseArea,program,stage,modality,representativeIndications,snapshotDate,sourceUrl,notes,trialId,trialName,trialStage,overlapIndication,potentialLaunchIndication,clinicalSetting,primaryCompletion,launchLagLowYears,launchLagHighYears,illustrativeLaunchWindow,historicalSales,trialUrl,detailNote
AstraZeneca,Oncology,Solid-tumor oncology,AZD9574,Phase II,PARP1 inhibitor,Advanced solid malignancies,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Oncology,Solid-tumor oncology,camizestrant,Phase III / registration,Next-generation oral SERD,"HR+/HER2- breast cancer, including advanced and adjuvant settings",2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Combination trials counted once under the lead investigational asset.,,,Phase III / registration,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Oncology,Solid-tumor oncology,FPI-2265,Phase II,PSMA-targeted actinium radioconjugate,Prostate cancer,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,NCT06402331,AlphaBreak,Phase II,Prostate cancer,PSMA-positive metastatic castration-resistant prostate cancer,Post-lutetium PSMA radioligand therapy; dose optimization,2026-12-23,3,5,2029-2031,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06402331,Phase II; additional combination work is underway.
AstraZeneca,Oncology,Solid-tumor oncology,IPH5201,Phase II,CD39 monoclonal antibody,Neoadjuvant/adjuvant NSCLC; listed in combination with Imfinzi,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Marketed combination backbone excluded from the asset count.,NCT05742607,MATISSE,Phase II,NSCLC,Resectable stage II-IIIA NSCLC,Untreated; neoadjuvant therapy before surgery followed by adjuvant therapy,2025-06,3,5,2028-2030,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT05742607,Early-stage study; no pivotal launch assumption is implied.
AstraZeneca,Oncology,Solid-tumor oncology,puxitatug samrotecan,Phase III,B7-H4 TOP1i antibody-drug conjugate,Solid tumors; Phase III endometrial cancer program,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Oncology,Solid-tumor oncology,rilvegostomig,Phase III,PD-1/TIGIT bispecific antibody,"NSCLC, HCC, gastric, biliary and other solid tumors",2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Multiple combinations and indications counted once under the lead asset.,NCT06692738,ARTEMIDE-Lung02,Phase III,NSCLC,"Metastatic squamous NSCLC, PD-L1 >=1%",First-line; rilvegostomig plus platinum chemotherapy,2029-02-05,1,2,2030-2031,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06692738,Representative pivotal study; the asset has additional NSCLC programs.
AstraZeneca,Oncology,Solid-tumor oncology,saruparib,Phase III,PARP1 inhibitor,Prostate and breast cancer programs,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,Multiple combinations and indications counted once under the lead asset.,NCT06120491,EvoPAR-Prostate01,Phase III,Prostate cancer,Metastatic castration-sensitive prostate cancer,First-line metastatic setting; with physician-choice new hormonal agent,2027-09-30,1,2,2028-2029,Not launched - no historical sales,https://clinicaltrials.gov/study/NCT06120491,Representative Phase III prostate study.
AstraZeneca,Oncology,Solid-tumor oncology,sonesitatug vedotin,Phase III,CLDN18.2 MMAE antibody-drug conjugate,Solid tumors; Phase III gastric cancer program,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Oncology,Solid-tumor oncology,tilatamig samrotecan,Phase II,EGFR/cMET TOP1i antibody-drug conjugate,Solid tumors,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase II,,,,,,,Not estimated,Not launched - no historical sales,,
AstraZeneca,Oncology,Solid-tumor oncology,torvutatug samrotecan (AZD5335),Phase III,FR-alpha TOP1i antibody-drug conjugate,Ovarian cancer and other solid tumors,2026-02-10,https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_Development_Pipeline_2025.pdf,,,,Phase III,,,,,,,Not estimated,Not launched - no historical sales,,
